song_name,artist,album,genre
Hotline Bling,Drake,If You're Reading This It's Too Late,Hip-Hop
One Dance,Drake,Views,Hip-Hop
God's Plan,Drake,Scorpion,Hip-Hop
Take Care,Drake,Take Care,Hip-Hop
Started From the Bottom,Drake,Nothing Was the Same,Hip-Hop
Hold Tight,Drake,Take Care,Hip-Hop
Passionfruit,Drake,Views,Hip-Hop
Too Good,Drake,Nothing Was the Same,Hip-Hop
Marvin's Room,Drake,Take Care,Hip-Hop
Headlines,Drake,Nothing Was the Same,Hip-Hop
Fake Love,Drake,More Life,Hip-Hop
In My Feelings,Drake,Scorpion,Hip-Hop
Work,Drake,Views,Hip-Hop
Controlla,Drake,Views,Hip-Hop
Best I Ever Had,Drake,Take Care,Hip-Hop
Jumpman,Drake & Future,What a Time to Be Alive,Hip-Hop
Energy,Drake,Views,Hip-Hop
Take Care (feat. Rihanna),Drake,Take Care,Hip-Hop
Alright,Kendrick Lamar,To Pimp a Butterfly,Hip-Hop
HUMBLE.,Kendrick Lamar,DAMN.,Hip-Hop
King Kunta,Kendrick Lamar,To Pimp a Butterfly,Hip-Hop
DNA.,Kendrick Lamar,DAMN.,Hip-Hop
The Blacker the Berry,Kendrick Lamar,To Pimp a Butterfly,Hip-Hop
Poetic Justice,Kendrick Lamar,To Pimp a Butterfly,Hip-Hop
These Walls,Kendrick Lamar,To Pimp a Butterfly,Hip-Hop
Loyalty,Kendrick Lamar,DAMN.,Hip-Hop
FEAR.,Kendrick Lamar,DAMN.,Hip-Hop
Bailando,Enrique Iglesias,Sex and Love,Latin Pop
Subeme La Radio,Enrique Iglesias,Final Vol. 1,Latin Pop
Duele el Corazon,Enrique Iglesias,Euphoria,Latin Pop
Hero,Enrique Iglesias,Enrique,Latin Pop
Escape,Enrique Iglesias,Escape,Latin Pop
Rhythm Divine,Enrique Iglesias,Enrique,Latin Pop
Heartbeat,Enrique Iglesias,Euphoria,Latin Pop
All Falls Down,Kanye West,College Dropout,Hip-Hop
Touch the Sky,Kanye West,Graduation,Hip-Hop
Runaway,Kanye West,My Beautiful Dark Twisted Fantasy,Hip-Hop
Gold Digger,Kanye West,Late Registration,Hip-Hop
Dear Mama,Tupac Shakur,Me Against the World,Hip-Hop
Brenda's Got a Baby,Tupac Shakur,2Pacalypse Now,Hip-Hop
Holla at Me,Tupac Shakur,All Eyez on Me,Hip-Hop
California,Tupac Shakur,Until the End of Time,Hip-Hop
Hips Don't Lie,Shakira,Oral Fixation Vol. 2,Latin Pop
Waka Waka (This Time for Africa),Shakira,Shakira,Latin Pop
La Tortura,Shakira,Fijación Oral Vol. 1,Latin Pop
Chantaje,Shakira,El Dorado,Latin Pop
Livin' la Vida Loca,Ricky Martin,Ricky Martin,Latin Pop
La Mordidita,Ricky Martin,A Quien Quiera Escuchar,Latin Pop
Vuelve,Ricky Martin,A Quien Quiera Escuchar,Latin Pop
Fiebre,Ricky Martin,Ricky Martin,Latin Pop
