song_name,artist,album,genre
I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,I Don't Care (with Justin Bieber) [Loud Luxury Remix],pop
Memories - Dillon Francis Remix,Maroon 5,Memories (Dillon Francis Remix),pop
All the Time - Don Diablo Remix,Zara Larsson,All the Time (Don Diablo Remix),pop
Call You Mine - Keanu Silva Remix,The Chainsmokers,Call You Mine - The Remixes,pop
Someone You Loved - Future Humans Remix,Lewis Capaldi,Someone You Loved (Future Humans Remix),pop
Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,Beautiful People (feat. Khalid) [Jack Wins Remix],pop
Never Really Over - R3HAB Remix,Katy Perry,Never Really Over (R3HAB Remix),pop
Post Malone (feat. RANI) - GATTÜSO Remix,Sam Feldt,Post Malone (feat. RANI) [GATTÜSO Remix],pop
Tough Love - Tiësto Remix / Radio Edit,Avicii,Tough Love (Tiësto Remix),pop
If I Can't Have You - Gryffin Remix,Shawn Mendes,If I Can't Have You (Gryffin Remix),pop
Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix],pop
Hate Me - R3HAB Remix,Ellie Goulding,Hate Me (R3HAB Remix),pop
Body On My,Loud Luxury,Body On My,pop
SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,SOS (Laidback Luke Tribute Remix),pop
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes],pop
South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B) [Andy Jarvis Remix],pop
All My Friends - Eden Prince Remix,AJ Mitchell,All My Friends (Eden Prince Remix),pop
Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,David Guetta,Say My Name (feat. Bebe Rexha & J Balvin) [Lucas & Steve Remix],pop
Dancing With A Stranger (With Normani) - Cheat Codes Remix,Sam Smith,Dancing With A Stranger (With Normani) [Cheat Codes Remix],pop
Let It Be Me - Sondr Remix,Steve Aoki,Let It Be Me (Remixes),pop
Heaven - David Guetta & MORTEN Remix,Avicii,Heaven (David Guetta & MORTEN Remix),pop
All Around The World (La La La) - Marnik Remix,R3HAB,All Around The World (La La La) [Marnik Remix],pop
Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,Don't Leave Me Alone (feat. Anne-Marie) [EDX's Indian Summer Remix],pop
Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,Slow Dance (feat. Ava Max) [Sam Feldt Remix],pop
Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,Do You Mean - The Remixes (feat. Ty Dolla $ign & bülow),pop
Hold Me While You Wait - Steve Void Remix,Lewis Capaldi,Hold Me While You Wait (Steve Void Remix),pop
One Thing Right - Firebeatz Remix,Marshmello,One Thing Right (Remixes),pop
Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,Ellie Goulding,Close To Me (Remixes),pop
So Am I - Toby Green Remix,Ava Max,So Am I (Toby Green Remix),pop
When You Leave - Breathe Carolina Remix,Nikki Vianna,When You Leave (Breathe Carolina Remix),pop
Mother - Fedde Le Grand Remix,Charlie Puth,Mother (Fedde Le Grand Remix),pop
Signs - Eden Prince Remix,Starley,Signs (Eden Prince Remix),pop
Ruin My Life - Steve James Remix,Zara Larsson,Ruin My Life (Remixes),pop
Torn - KREAM Remix,Ava Max,Torn (KREAM Remix),pop
