song_name,artist,album,genre
Smells Like Teen Spirit,Nirvana,Nevermind,Grunge
Come As You Are,Nirvana,Nevermind,Grunge
Lithium,Nirvana,Nevermind,Grunge
In Bloom,Nirvana,Nevermind,Grunge
Breed,Nirvana,In Utero,Grunge
Heart-Shaped Box,Nirvana,In Utero,Grunge
Polly,Nirvana,Nevermind,Grunge
Territorial Pissings,Nirvana,Nevermind,Grunge
Lounge Act,Nirvana,Nevermind,Grunge
Something in the Way,Nirvana,MTV Unplugged in New York,Grunge
Alive,Pearl Jam,Ten,Grunge
Black,Pearl Jam,Ten,Grunge
Jeremy,Pearl Jam,Ten,Grunge
Even Flow,Pearl Jam,Ten,Grunge
Blitzkrieg Bop,Ramones,Ramones,Punk Rock
London Calling,The Clash,London Calling,Punk Rock
White Riot,The Clash,Give 'Em Enough Rope,Punk Rock
I Wanna Be Sedated,The Ramones,Roadkill,Punk Rock
Sheena Is a Punk Rocker,The Ramones,Rocket to Russia,Punk Rock
Rockaway Beach,The Ramones,Ramones,Punk Rock
Gimme Gimme Shock Treatment,The Ramones,Roadkill,Punk Rock
London's Burning,The Clash,The Clash,Punk Rock
Should I Stay or Should I Go?,The Clash,Combat Rock,Punk Rock
Complete Control,The Clash,Sandinista!,Punk Rock
Train in Vain,The Clash,London Calling,Punk Rock
Tommy Gun,The Clash,London Calling,Punk Rock
Know Your Rights,The Clash,Combat Rock,Punk Rock
California Sun,The Ramones,End of the Century,Punk Rock
Do You Wanna Touch Me (Oh Yeah),The Ramones,Rocket to Russia,Punk Rock
American Idiot,Green Day,American Idiot,Punk Rock
Basket Case,Green Day,Dookie,Punk Rock
When I Come Around,Green Day,Dookie,Punk Rock
Longview,Green Day,Dookie,Punk Rock
Brain Stew/Helpless Hope,Green Day,Dookie,Punk Rock
Minority,Green Day,American Idiot,Punk Rock
Boulevard of Broken Dreams,Green Day,American Idiot,Punk Rock
Holiday,Green Day,American Idiot,Punk Rock
Wake Me Up When September Ends,Green Day,American Idiot,Punk Rock
Jesus of Suburbia,Green Day,American Idiot,Punk Rock
Know Your Enemy,Green Day,21st Century Breakdown,Punk Rock
21 Guns,Green Day,21st Century Breakdown,Punk Rock
