song_name,artist,album,genre
Bohemian Rhapsody,Queen,A Night at the Opera,Rock
Imagine,John Lennon,Imagine,Pop/Rock
Billie Jean,Michael Jackson,Thriller,Pop/Funk
Hotel California,Eagles,Hotel California,Rock
Creep,Radiohead,Pablo Honey,Alternative Rock
Smells Like Teen Spirit,Nirvana,Nevermind,Grunge
Back in Black,AC/DC,Back in Black,Hard Rock
Sweet Child o' Mine,Guns N' Roses,Appetite for Destruction,Hard Rock
I Will Always Love You,Whitney Houston,The Bodyguard,Pop/Soul
Crazy in Love,Beyoncé feat. Jay-Z,Dangerously in Love,R&B/Hip-Hop
Rolling in the Deep,Adele,21,Pop/Soul
Uptown Funk,Mark Ronson feat. Bruno Mars,Uptown Special,Funk/Pop
Happy,Pharrell Williams,G I R L,Pop/Funk
Can't Stop the Feeling!,Justin Timberlake,Trolls,Pop/Funk
Despacito,Luis Fonsi feat. Daddy Yankee,Despacito & Mis Grandes Éxitos,Latin Pop
Perfect,Ed Sheeran,÷ (Divide),Pop
Old Town Road,Lil Nas X feat. Billy Ray Cyrus,7 EP,Country/Hip-Hop
Dance Monkey,Tones and I,The Kids Are Coming,Pop/Indie
Mr. Brightside,The Killers,Hot Fuss,Rock
Can't Get You Out of My Head,Kylie Minogue,Fever,Pop
Toxic,Britney Spears,In the Zone,Pop
Hey Ya!,Outkast,Speakerboxxx/The Love Below,Hip-Hop/R&B
Crazy,Gnarls Barkley,St. Elsewhere,Pop/Alternative
Umbrella,Rihanna feat. Jay-Z,Good Girl Gone Bad,Pop/R&B
Poker Face,Lady Gaga,The Fame,Pop/Dance
Single Ladies (Put a Ring on It),Beyoncé,I Am... Sasha Fierce,Pop/R&B
We Found Love,Rihanna feat. Calvin Harris,Talk That Talk,Pop/Dance
Somebody That I Used to Know,Gotye feat. Kimbra,Making Mirrors,Pop/Indie
Thrift Shop,Macklemore & Ryan Lewis,The Heist,Hip-Hop
Royals,Lorde,Pure Heroine,Pop/Electropop
Counting Stars,OneRepublic,Native,Pop/Rock
Thinking Out Loud,Ed Sheeran,x,Pop
Stitches,Shawn Mendes,Handwritten,Pop
Closer,The Chainsmokers feat. Halsey,Closer,Pop/EDM
Starboy,The Weeknd,Starboy,R&B/Pop
Shape of You,Ed Sheeran,÷ (Divide),Pop
Despacito (Remix),Luis Fonsi & Daddy Yankee feat. Justin Bieber,Despacito & Mis Grandes Éxitos,Latin Pop
Havana,Camila Cabello,Camila,Pop/Latin
Rockaway Beach,The Ramones,Ramones,Punk Rock
Basket Case,Green Day,Dookie,Punk Rock
Losing My Religion,R.E.M.,Out of Time,Alternative Rock
Wonderwall,Oasis,(What's the Story) Morning Glory?,Britpop
Zombie,The Cranberries,No Need to Argue,Rock
Parklife,Blur,Parklife,Britpop
Song 2,Blur,Blur,Britpop
Common People,Pulp,Different Class,Britpop
Don't Look Back in Anger,Oasis,(What's the Story) Morning Glory?,Britpop
Live Forever,Oasis,(What's the Story) Morning Glory?,Britpop
I Will Survive,Gloria Gaynor,Love Tracks,Disco
